Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
func@0x1de20	1.970004	1.970004	0.0	0.0	libgomp.so.1	func@0x1de20	[Unknown]	0x1de20
blas_thread_server	1.480000	1.480000	0.0	0.0	libscipy_openblas64_-096271d3.so	blas_thread_server	[Unknown]	0x5ed990
_dl_open	0.569971	0.569971	0.0	0.0	ld-linux-x86-64.so.2	_dl_open	dl-open.c	0xd0b0
memcmp	0.340033	0.340033	0.0	0.0	libc-dynamic.so	memcmp	[Unknown]	0x69ce0
memset	0.299080	0.299080	0.0	0.0	libc-dynamic.so	memset	[Unknown]	0x6a3b0
memmove	0.160021	0.160021	0.0	0.0	libc-dynamic.so	memmove	[Unknown]	0x69e90
_PyEval_EvalFrameDefault	0.140005	0.140005	0.0	0.0	python3.12	_PyEval_EvalFrameDefault	[Unknown]	0x5d6860
func@0x61c9f0	0.130006	0.130006	0.0	0.0	python3.12	func@0x61c9f0	[Unknown]	0x61c9f0
OS_BARESYSCALL_DoCallAsmIntel64Linux	0.121464	0.121464	0.0	0.0	libc-dynamic.so	OS_BARESYSCALL_DoCallAsmIntel64Linux	[Unknown]	0x80954
PyObject_Malloc	0.080001	0.080001	0.0	0.0	python3.12	PyObject_Malloc	[Unknown]	0x586ba0
func@0x1dfd0	0.070000	0.070000	0.0	0.0	libgomp.so.1	func@0x1dfd0	[Unknown]	0x1dfd0
func@0x61d9a0	0.039997	0.039997	0.0	0.0	python3.12	func@0x61d9a0	[Unknown]	0x61d9a0
__memmove_avx_unaligned_erms	0.039989	0.039989	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x188a40
func@0x61d29d	0.039988	0.039988	0.0	0.0	python3.12	func@0x61d29d	[Unknown]	0x61d29d
func@0x572cf0	0.030021	0.030021	0.0	0.0	python3.12	func@0x572cf0	[Unknown]	0x572cf0
func@0x572010	0.030012	0.030012	0.0	0.0	python3.12	func@0x572010	[Unknown]	0x572010
func@0x6084e0	0.030012	0.030012	0.0	0.0	python3.12	func@0x6084e0	[Unknown]	0x6084e0
func@0x5913d0	0.030010	0.030010	0.0	0.0	python3.12	func@0x5913d0	[Unknown]	0x5913d0
func@0x59ff70	0.030007	0.030007	0.0	0.0	python3.12	func@0x59ff70	[Unknown]	0x59ff70
func@0x61d940	0.030006	0.030006	0.0	0.0	python3.12	func@0x61d940	[Unknown]	0x61d940
PyObject_IS_GC	0.030000	0.030000	0.0	0.0	python3.12	PyObject_IS_GC	[Unknown]	0x61c350
func@0x1df20	0.029999	0.029999	0.0	0.0	libgomp.so.1	func@0x1df20	[Unknown]	0x1df20
operator new	0.029999	0.029999	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0xbb8e0
__GI___libc_free	0.029997	0.029997	0.0	0.0	libc.so.6	__GI___libc_free	malloc.c	0xadd30
[MKL SERVICE]@threader_s_1i_1o	0.029996	0.029996	0.0	0.0	libtorch_cpu.so	mkl_vml_serv_threader_s_1i_1o	[Unknown]	0x9128ce0
func@0x59c1e0	0.020019	0.020019	0.0	0.0	python3.12	func@0x59c1e0	[Unknown]	0x59c1e0
c10::impl::OperatorEntry::updateDispatchTableEntry_	0.020013	0.020013	0.0	0.0	libtorch_cpu.so	c10::impl::OperatorEntry::updateDispatchTableEntry_(c10::Dispatcher const&, c10::DispatchKey)	[Unknown]	0x1ce2e80
func@0x559750	0.020008	0.020008	0.0	0.0	python3.12	func@0x559750	[Unknown]	0x559750
__GI___libc_malloc	0.020003	0.020003	0.0	0.0	libc.so.6	__GI___libc_malloc	malloc.c	0xad650
[MKL BLAS]@_sgemm	0.020002	0.020002	0.0	0.0	libtorch_cpu.so	mkl_blas__sgemm	[Unknown]	0x910d040
__munmap	0.020002	0.020002	0.0	0.0	libc.so.6	__munmap	syscall-template.S	0x125d70
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#1}>>	0.020001	0.020001	0.0	0.0	libtorch_cpu.so	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#1}>>(long, char**, long const*, long, long)	[Unknown]	0x6d38f50
func@0x1e180	0.020001	0.020001	0.0	0.0	libgomp.so.1	func@0x1e180	[Unknown]	0x1e180
func@0x6bbf00	0.020000	0.020000	0.0	0.0	python3.12	func@0x6bbf00	[Unknown]	0x6bbf00
func@0x55b660	0.020000	0.020000	0.0	0.0	python3.12	func@0x55b660	[Unknown]	0x55b660
__memset_avx2_unaligned_erms	0.019995	0.019995	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x189440
PyCode_Addr2Line	0.019994	0.019994	0.0	0.0	python3.12	PyCode_Addr2Line	[Unknown]	0x54f140
func@0x559d40	0.019981	0.019981	0.0	0.0	python3.12	func@0x559d40	[Unknown]	0x559d40
PyUnicode_InternInPlace	0.019965	0.019965	0.0	0.0	python3.12	PyUnicode_InternInPlace	[Unknown]	0x5a6a30
func@0x593520	0.010995	0.010995	0.0	0.0	python3.12	func@0x593520	[Unknown]	0x593520
func@0x519350	0.010057	0.010057	0.0	0.0	python3.12	func@0x519350	[Unknown]	0x519350
func@0x549a90	0.010010	0.010010	0.0	0.0	python3.12	func@0x549a90	[Unknown]	0x549a90
PyMem_Malloc	0.010008	0.010008	0.0	0.0	python3.12	PyMem_Malloc	[Unknown]	0x587480
func@0x4201d0	0.010008	0.010008	0.0	0.0	python3.12	func@0x4201d0	[Unknown]	0x4201d0
func@0x537690	0.010008	0.010008	0.0	0.0	python3.12	func@0x537690	[Unknown]	0x537690
PyCompile_OpcodeStackEffectWithJump	0.010006	0.010006	0.0	0.0	python3.12	PyCompile_OpcodeStackEffectWithJump	[Unknown]	0x5f0100
func@0x5a69c0	0.010005	0.010005	0.0	0.0	python3.12	func@0x5a69c0	[Unknown]	0x5a69c0
func@0x59e490	0.010005	0.010005	0.0	0.0	python3.12	func@0x59e490	[Unknown]	0x59e490
_PyObject_GenericGetAttrWithDict	0.010005	0.010005	0.0	0.0	python3.12	_PyObject_GenericGetAttrWithDict	[Unknown]	0x584e00
func@0x59efe0	0.010005	0.010005	0.0	0.0	python3.12	func@0x59efe0	[Unknown]	0x59efe0
_PyDict_GetItem_KnownHash	0.010004	0.010004	0.0	0.0	python3.12	_PyDict_GetItem_KnownHash	[Unknown]	0x5745d0
__posix_memalign	0.010004	0.010004	0.0	0.0	libc.so.6	__posix_memalign	malloc.c	0xaf430
strlen	0.010003	0.010003	0.0	0.0	libc-dynamic.so	strlen	[Unknown]	0x3e730
func@0x5d2010	0.010002	0.010002	0.0	0.0	python3.12	func@0x5d2010	[Unknown]	0x5d2010
PyUnicode_FromKindAndData	0.010002	0.010002	0.0	0.0	python3.12	PyUnicode_FromKindAndData	[Unknown]	0x5ab7c0
std::_Hashtable<std::type_index, std::pair<std::type_index const, pybind11::detail::type_info*>, std::allocator<std::pair<std::type_index const, pybind11::detail::type_info*>>, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node.isra.0	0.010002	0.010002	0.0	0.0	libtorch_python.so	std::_Hashtable<std::type_index, std::pair<std::type_index const, pybind11::detail::type_info*>, std::allocator<std::pair<std::type_index const, pybind11::detail::type_info*>>, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node(unsigned long, std::type_index const&, unsigned long) const.isra.0	[Unknown]	0x9cb350
func@0xaecde0	0.010002	0.010002	0.0	0.0	libtpsstool.so	func@0xaecde0	[Unknown]	0xaecde0
func@0x64d280	0.010002	0.010002	0.0	0.0	python3.12	func@0x64d280	[Unknown]	0x64d280
pybind11::cpp_function::initialize<pybind11::cpp_function::cpp_function<std::vector<c10::Argument, std::allocator<c10::Argument>> const&, c10::FunctionSchema>(std::vector<c10::Argument, std::allocator<c10::Argument>> const& (c10::Argument) const c10::FunctionSchema::*, std::allocator<c10::Argument> const&)::{lambda(c10::FunctionSchema const*)#1}, std::vector<c10::Argument, std::allocator<c10::Argument>> const&, c10::FunctionSchema const>(void, std::vector<c10::Argument, std::allocator<c10::Argument>> const&&&, c10::FunctionSchema (*)(c10::Argument), std::allocator<c10::Argument> const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN	0.010002	0.010002	0.0	0.0	libtorch_python.so	pybind11::cpp_function::initialize<pybind11::cpp_function::cpp_function<std::vector<c10::Argument, std::allocator<c10::Argument>> const&, c10::FunctionSchema>(std::vector<c10::Argument, std::allocator<c10::Argument>> const& (c10::Argument) const c10::FunctionSchema::*, std::allocator<c10::Argument> const&)::{lambda(c10::FunctionSchema const*)#1}, std::vector<c10::Argument, std::allocator<c10::Argument>> const&, c10::FunctionSchema const>(void, std::vector<c10::Argument, std::allocator<c10::Argument>> const&&&, c10::FunctionSchema (*)(c10::Argument), std::allocator<c10::Argument> const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN(pybind11::detail::function_call)	[Unknown]	0xa3c9f0
__GI___libc_read	0.010002	0.010002	0.0	0.0	libc.so.6	__GI___libc_read	read.c	0x11ba80
func@0x1ca70	0.010001	0.010001	0.0	0.0	libgomp.so.1	func@0x1ca70	[Unknown]	0x1ca70
cache_from_source	0.010001	0.010001	0.0	0.0	<frozen importlib._bootstrap_external>	cache_from_source	<frozen importlib._bootstrap_external>	0x728757689880
func@0x5762c0	0.010001	0.010001	0.0	0.0	python3.12	func@0x5762c0	[Unknown]	0x5762c0
func@0x57dda0	0.010001	0.010001	0.0	0.0	python3.12	func@0x57dda0	[Unknown]	0x57dda0
torch::jit::SharedParserData::match	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	torch::jit::SharedParserData::match(torch::jit::StringCordView::Iterator, bool, bool, int*, torch::jit::StringCordView::Iterator*, torch::jit::StringCordView::Iterator*)	[Unknown]	0x1d5cbf0
OS_SyscallDo	0.010000	0.010000	0.0	0.0	libc-dynamic.so	OS_SyscallDo	[Unknown]	0x794c0
PyObject_GetAttr	0.010000	0.010000	0.0	0.0	python3.12	PyObject_GetAttr	[Unknown]	0x584880
pybind11::cpp_function::dispatcher	0.010000	0.010000	0.0	0.0	libtorch_python.so	pybind11::cpp_function::dispatcher(_object*, _object*, _object*)	[Unknown]	0x3ed350
func@0x519930	0.010000	0.010000	0.0	0.0	python3.12	func@0x519930	[Unknown]	0x519930
PyLong_FromSsize_t	0.010000	0.010000	0.0	0.0	python3.12	PyLong_FromSsize_t	[Unknown]	0x562130
at::impl::torch_function_mode_enabled	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	at::impl::torch_function_mode_enabled(void)	[Unknown]	0x1a67cb0
c10::impl::OperatorEntry::getKernelForDispatchKey	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	c10::impl::OperatorEntry::getKernelForDispatchKey(c10::DispatchKey) const	[Unknown]	0x1cdfc20
fmt::v12::detail::parse_format_string<char, fmt::v12::detail::format_handler<char>>	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	fmt::v12::detail::parse_format_string<char, fmt::v12::detail::format_handler<char>>(fmt::v12::basic_string_view<char>, fmt::v12::detail::format_handler<char>&&)	[Unknown]	0x1a4f800
func@0x586ec0	0.010000	0.010000	0.0	0.0	python3.12	func@0x586ec0	[Unknown]	0x586ec0
func@0x5a01f0	0.010000	0.010000	0.0	0.0	python3.12	func@0x5a01f0	[Unknown]	0x5a01f0
torch::Library::_parseNameForLib	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	torch::Library::_parseNameForLib(char const*) const	[Unknown]	0x1d19e30
at::native::structured_addmm_out_cpu::impl	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	at::native::structured_addmm_out_cpu::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&, c10::Scalar const&, c10::Scalar const&, at::Tensor const&)	[Unknown]	0x1fc8720
is_compiling	0.010000	0.010000	0.0	0.0	optimizer.py	is_compiling	optimizer.py	0x7286fcf31200
std::__1::unordered_map<std::__1::tuple<void*, int, void*>, void* (*)(void*, void*, int, void* (*)(void*, void*, int)), pycollect::Trampoline::CodeObjectKeyHash, std::__1::equal_to<std::__1::tuple<void*, int, void*>>, std::__1::allocator<std::__1::pair<std::__1::tuple<void*, int, void*> const, void* (*)(void*, void*, int, void* (*)(void*, void*, int))>>>::operator[]	0.010000	0.010000	0.0	0.0	libtpsstool.so	std::__1::unordered_map<std::__1::tuple<void*, int, void*>, void* (*)(void*, void*, int, void* (*)(void*, void*, int)), pycollect::Trampoline::CodeObjectKeyHash, std::__1::equal_to<std::__1::tuple<void*, int, void*>>, std::__1::allocator<std::__1::pair<std::__1::tuple<void*, int, void*> const, void* (*)(void*, void*, int, void* (*)(void*, void*, int))>>>::operator[](std::__1::tuple<void*, int, void*> const&)	[Unknown]	0x948f30
c10::Device::Device	0.010000	0.010000	0.0	0.0	libc10.so	c10::Device::Device(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)	[Unknown]	0x3e810
c10::Argument::cloneWithType	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	c10::Argument::cloneWithType(c10::Type::SingletonOrSharedTypePtr<c10::Type> const&) const	[Unknown]	0x1cf8610
func@0x421e10	0.009999	0.009999	0.0	0.0	python3.12	func@0x421e10	[Unknown]	0x421e10
PyMethod_New	0.009999	0.009999	0.0	0.0	python3.12	PyMethod_New	[Unknown]	0x54c830
c10::getTypePtrCopy<c10::ArrayRef<at::Tensor>>	0.009999	0.009999	0.0	0.0	libtorch_cpu.so	c10::getTypePtrCopy<c10::ArrayRef<at::Tensor>>(void)	[Unknown]	0x1a292e0
pybind11::detail::get_local_internals	0.009999	0.009999	0.0	0.0	libtorch_python.so	pybind11::detail::get_local_internals(void)	[Unknown]	0x3e46d0
PyDict_Contains	0.009999	0.009999	0.0	0.0	python3.12	PyDict_Contains	[Unknown]	0x571f80
__expf_fma	0.009999	0.009999	0.0	0.0	libm.so.6	__expf_fma	e_expf.c	0x7dc40
func@0x5192d0	0.009998	0.009998	0.0	0.0	python3.12	func@0x5192d0	[Unknown]	0x5192d0
PyContextVar_Get	0.009998	0.009998	0.0	0.0	python3.12	PyContextVar_Get	[Unknown]	0x5f1760
c10::impl::OperatorEntry::computeDispatchTableEntryWithDebug	0.009998	0.009998	0.0	0.0	libtorch_cpu.so	c10::impl::OperatorEntry::computeDispatchTableEntryWithDebug(c10::Dispatcher const&, c10::DispatchKey) const	[Unknown]	0x1ce1ca0
func@0x12650	0.009998	0.009998	0.0	0.0	_ctypes.cpython-312-x86_64-linux-gnu.so	func@0x12650	[Unknown]	0x12650
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#1}>>	0.009998	0.009998	0.0	0.0	libtorch_cpu.so	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#1}>>(long, char**, long const*, long, long)	[Unknown]	0x75272f0
PySlice_New	0.009998	0.009998	0.0	0.0	python3.12	PySlice_New	[Unknown]	0x58f660
__GI___mmap64	0.009998	0.009998	0.0	0.0	libc.so.6	__GI___mmap64	mmap64.c	0x125320
func@0x5f1880	0.009998	0.009998	0.0	0.0	python3.12	func@0x5f1880	[Unknown]	0x5f1880
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#15}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#15}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#1}>>	0.009998	0.009998	0.0	0.0	libtorch_cpu.so	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#15}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#15}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#1}>>(long, char**, long const*, long, long)	[Unknown]	0x7a0c790
PyMem_Free	0.009997	0.009997	0.0	0.0	python3.12	PyMem_Free	[Unknown]	0x587a40
_PyTrash_begin	0.009997	0.009997	0.0	0.0	python3.12	_PyTrash_begin	[Unknown]	0x583c50
func@0x59f5d0	0.009997	0.009997	0.0	0.0	python3.12	func@0x59f5d0	[Unknown]	0x59f5d0
_PyTrash_cond	0.009997	0.009997	0.0	0.0	python3.12	_PyTrash_cond	[Unknown]	0x583c30
func@0x5f2e10	0.009997	0.009997	0.0	0.0	python3.12	func@0x5f2e10	[Unknown]	0x5f2e10
func@0x586d20	0.009997	0.009997	0.0	0.0	python3.12	func@0x586d20	[Unknown]	0x586d20
___pthread_getspecific	0.009996	0.009996	0.0	0.0	libc.so.6	___pthread_getspecific	pthread_getspecific.c	0x9e5b0
c10::impl::OperatorEntry::lookup	0.009996	0.009996	0.0	0.0	libtorch_cpu.so	c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const	[Unknown]	0x28bb5f0
dnnl::impl::graph::utils::pm::pb_graph_t::connect_edges	0.009996	0.009996	0.0	0.0	libtorch_cpu.so	dnnl::impl::graph::utils::pm::pb_graph_t::connect_edges(dnnl::impl::graph::utils::pm::pb_node_t*, std::vector<std::shared_ptr<std::pair<unsigned long, std::shared_ptr<std::pair<dnnl::impl::graph::utils::pm::pb_node_t*, unsigned long>>>>, std::allocator<std::shared_ptr<std::pair<unsigned long, std::shared_ptr<std::pair<dnnl::impl::graph::utils::pm::pb_node_t*, unsigned long>>>>>> const&)	[Unknown]	0x11abb320
std::vector<c10::Argument, std::allocator<c10::Argument>>::reserve	0.009996	0.009996	0.0	0.0	libtorch_cpu.so	std::vector<c10::Argument, std::allocator<c10::Argument>>::reserve(unsigned long)	[Unknown]	0x1cf7630
torch::jit::Lexer::expect	0.009996	0.009996	0.0	0.0	libtorch_cpu.so	torch::jit::Lexer::expect(int)	[Unknown]	0x1d5f2b0
as_property	0.009996	0.009996	0.0	0.0	assumptions.py	as_property	assumptions.py	0x7286ff786640
__GI___fstatat64	0.009995	0.009995	0.0	0.0	libc.so.6	__GI___fstatat64	fstatat64.c	0x1173e0
func@0x5993c0	0.009995	0.009995	0.0	0.0	python3.12	func@0x5993c0	[Unknown]	0x5993c0
func@0x567a10	0.009994	0.009994	0.0	0.0	python3.12	func@0x567a10	[Unknown]	0x567a10
func@0x5906b0	0.009994	0.009994	0.0	0.0	python3.12	func@0x5906b0	[Unknown]	0x5906b0
func@0x5f7970	0.009991	0.009991	0.0	0.0	python3.12	func@0x5f7970	[Unknown]	0x5f7970
func@0x5ff440	0.009980	0.009980	0.0	0.0	python3.12	func@0x5ff440	[Unknown]	0x5ff440
std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::basic_string	0.009974	0.009974	0.0	0.0	libc++.so	std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::basic_string(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> const&)	[Unknown]	0x4c690
func@0x5727e0	0.009914	0.009914	0.0	0.0	python3.12	func@0x5727e0	[Unknown]	0x5727e0
func@0x13360	0.009465	0.009465	0.0	0.0	libc-dynamic.so	func@0x13360	[Unknown]	0x13360
PyObject_Vectorcall	0.009005	0.009005	0.0	0.0	python3.12	PyObject_Vectorcall	[Unknown]	0x549900
